epoch,effective_privacy_weight,train_reconstruction_loss,train_attack_loss,train_privacy_loss,train_discriminator_loss,train_discriminator_accuracy,train_generator_loss,validation_mse,validation_psnr_db
1,0.020000000000000004,0.0005991424435633234,0.054960953883826734,0.035754929809272286,0.5305031366139651,0.722525,-0.00014252731844226218,0.00023996020457707346,36.198607764784725
2,0.04000000000000001,0.0004822384389466606,0.05896090790778399,9.427189826965332e-07,0.533040043976903,0.7051875,-0.0018761883910454343,0.0010374372033402325,29.840381819105247
3,0.06,0.0005829910328495316,0.05982686925083399,0.001051204413175583,0.5240607913359999,0.7139375,-0.002996108994015958,0.00028321640391368416,35.47881595887369
4,0.08000000000000002,0.0005560923626762815,0.04963464669436216,1.2482404708862304e-07,0.5045635103657842,0.7328625,-0.003414678034093231,0.0011330719427205622,29.457425143778856
5,0.1,0.002041991080972366,0.10405067735910416,9.851157665252685e-07,0.5300018398419023,0.702675,-0.008363066987507045,0.000692420314066112,31.596301993792505
6,0.1,0.0005774458237574435,0.08193528185784817,0.0,0.5163246802531183,0.703525,-0.007616082498524338,0.0008959650918841362,30.477089107591084
7,0.1,0.0005185075143701397,0.05151981557756662,0.0,0.5162083448149264,0.691675,-0.004633474143315107,0.00241286004986614,26.174678672058036
8,0.1,0.000891153922106605,0.05430259321033955,0.0,0.513266689556092,0.69315,-0.004539105499722064,0.15497559040784836,8.097367004489994
9,0.1,0.002013163445517421,0.07526305844634772,3.329761624336243e-05,0.5428658426210284,0.6757125,-0.00551280953977257,0.0028900105841457844,25.39100566714839
10,0.1,0.0010143872413318604,0.06325684385448695,0.0,0.5235980174571275,0.6837625,-0.00531129724085331,0.024490574538707732,16.11001026387594
11,0.1,0.0017944448099005967,0.08052539241313934,0.00011621552407741547,0.5163059468381107,0.704925,-0.006256932404451072,0.003546212788671255,24.50235208336599
12,0.1,0.0015157176207285373,0.0831362074136734,0.0,0.5010188664004207,0.716675,-0.006797903269249946,0.0032769929338246585,24.845244950852067
13,0.1,0.001256058257771656,0.08953527404516935,0.0,0.5074063641622663,0.6966375,-0.0076974693106487396,0.0019471610430628061,27.10598127976018
14,0.1,0.0018633251989493146,0.09009416880607606,0.0004748190462589264,0.5177488602407276,0.6860125,-0.007141343629546463,0.10859031867980957,9.642088923471514
15,0.1,0.002879759755125269,0.10604995339214802,1.430511474609375e-10,0.5232817574180663,0.68295,-0.0077252357564168055,0.04560218513011932,13.41014346650999
16,0.1,0.0022289087291341276,0.10184752286672592,0.0011538093388080597,0.5317953101277352,0.6921,-0.007944305651186732,0.0007931550885550678,31.006418851688476
17,0.1,0.0007829722344991751,0.0892494219571352,0.0,0.5523386851713061,0.662275,-0.008141970128100365,0.000532994672190398,32.73277132155182
18,0.1,0.0008764806799357757,0.07687370339334011,3.227225542068481e-05,0.5520672139815986,0.6657,-0.006810567075479776,0.001120851913932711,29.504517622579904
19,0.1,0.001330650015664287,0.11771936073601245,8.579269051551819e-05,0.5571869506761432,0.6693375,-0.010440428328793496,0.0022101679313927887,26.55574726809715
20,0.1,0.0011446601437986828,0.06460844120383262,0.0005857800364494324,0.5662764156453312,0.6516125,-0.005310326293157414,0.2321708117723465,6.341923801314526
21,0.1,0.0010172943535028025,0.10019006740003825,6.926100850105286e-05,0.5525443030111492,0.671775,-0.009001019967906178,0.0009051868841052055,30.432617474725035
22,0.1,0.000983716044249013,0.11066624450087548,0.0,0.540718487277627,0.6806125,-0.01008290858399123,0.0007325188680551946,31.351811843708212
23,0.1,0.0008299355458584614,0.11027633371949196,0.0,0.5333659243419766,0.6923125,-0.010197698018699885,0.2837315204143524,5.470924147095668
24,0.1,0.0018540583849768154,0.1263861130952835,2.2470951080322266e-08,0.5423489134974778,0.68275,-0.010784552918747067,0.008450528759509326,20.731161158843115
25,0.1,0.0007023197577218525,0.15725019997656345,0.00016538568437099457,0.5687485287360847,0.6460375,-0.015021046721935272,0.0004027064193505794,33.95011447456602
26,0.1,0.000754228105628863,0.12629873515963555,1.219707727432251e-06,0.5679256812110544,0.6421875,-0.011875633442401886,0.0002299041018122807,36.384532802376896
27,0.1,0.0021829434171319008,0.1685939449429512,2.384185791015625e-11,0.5688254393391311,0.6441375,-0.014676451379805803,0.07758618503808976,11.102156021419544
28,0.1,0.000600375691766385,0.1338773930042982,0.0006858963787555694,0.5715554838843644,0.641325,-0.012780504875071347,0.1410579679608345,8.506023767635927
29,0.1,0.0028918277779594066,0.12792714049518109,0.00011165132969617843,0.587227452045679,0.6306375,-0.009899769954383374,0.2752373340129852,5.602926574418955
30,0.1,0.0008691047050640918,0.11678843433707953,0.0017258816644549369,0.5707877473250031,0.6427625,-0.01079248014446348,0.0009702356089837849,30.131227902115313
