epoch,train_reconstruction_loss,train_mse,train_l1,train_static_loss,train_discriminator_loss,train_discriminator_accuracy,train_generator_loss,validation_mse,validation_psnr_db
1,0.016085236943513156,0.009432972436212004,0.06652264374792576,-0.08373506002500654,2.001150315260887,0.4992375,0.016001501897349953,0.0048433400932699445,23.14855034268622
2,0.005550874456763268,0.002252354078646749,0.03298520332127809,-0.09866762610971927,2.0013970260620115,0.49915,0.005452206824161112,0.0013136865035630763,28.815082618817648
3,0.004017896584048867,0.00141040106783621,0.026074954666942356,0.036922347009181976,2.0007248759269713,0.49915,0.0040548189314082266,0.0010542955442797393,29.77037628916714
4,0.0036270799786783754,0.0012360461974982172,0.023910337356477976,-0.055438091557100416,1.9990664174556732,0.5016375,0.003571641885023564,0.0009612288200296461,30.17173216444703
5,0.0032415094785392283,0.001041850711463485,0.021996587164700033,0.016594778483361005,2.0012504738092423,0.500175,0.003258104260545224,0.0010692425803281367,29.70923754710364
6,0.002043637944525108,0.0004625941339763813,0.01581043778806925,-0.055998279518354684,2.001716307592392,0.5001625,0.0019876396645326167,0.00029305378976278006,35.330526579628916
7,0.0016189920358825475,0.0003075897692644503,0.013114022443816065,-0.04192626018021256,2.0016965049505235,0.499875,0.0015770657731685787,0.00022255149006377906,36.52569493611023
8,0.0014316679283510893,0.0002467793375777546,0.011848885707557202,-0.024412066104263067,2.0022249960660936,0.4995625,0.0014072558598127215,0.00019643021456431598,37.06791708966073
9,0.001340055045252666,0.0002198103522823658,0.011202446739003061,-0.06972913759816438,2.000614888215065,0.499625,0.001270325904712081,0.00015258609817828982,38.164850323017184
10,0.001240351550746709,0.00019170297691598534,0.010486485575512051,0.048351098275184634,2.0019049600839613,0.501075,0.001288702649762854,0.00011515383189544081,39.38721605738343
11,0.0011896729791071267,0.0001793385764991399,0.010103343864902853,-0.034629532811045645,2.000829270839691,0.4995625,0.001155043445713818,0.00017530610680114477,37.56202954962424
12,0.001114240332785994,0.00015839140271418727,0.009558489181101321,0.05885779156778008,2.0012311547994615,0.50015,0.0011730981275904924,0.0001701248873723671,37.69232149304116
13,0.0010860052320640534,0.000152137035006308,0.009338681837171316,0.0348645884424448,2.000743793177605,0.500425,0.0011208698233123868,0.00011530463775852696,39.38153224254046
14,0.0010477197375148536,0.00014191245353140403,0.00905807270333171,0.009475312228128314,2.0014751385688783,0.5003875,0.001057195051177405,9.37914292444475e-05,40.27836846076241
15,0.0009992049357155338,0.00013076420389988925,0.008684407188743352,0.03701767489677295,2.002105252814293,0.50095,0.0010362226113909856,0.00010340986953815445,39.8543800977777
16,0.0009650360588217155,0.0001224385212524794,0.008425975253805519,0.023756835352629423,2.0015765245437622,0.5007375,0.000988792895246297,5.8222466963343324e-05,42.34909396872669
17,0.0009313785091973841,0.00011505266020831186,0.008163258380442857,0.14204358168393375,2.0009970376729966,0.49985,0.0010734220968559385,0.00014193454280029982,38.47911896847573
18,0.0009039348375983536,0.0001094004152022535,0.007945344119518995,0.08989893602505326,2.0022237608909608,0.498625,0.000993833778356202,0.0002633591961348429,35.79451512085741
19,0.0008864572677994147,0.00010554157255974133,0.007809156835079193,-0.05064002400115132,1.999933467555046,0.5013375,0.0008358172402484342,8.366511581698433e-05,40.774555834183246
20,0.0008536150483647361,9.897302293538814e-05,0.007546420145593584,0.011542056951019912,2.0002158896446227,0.50035,0.0008651571060181595,6.656022628885694e-05,41.7678521021741
21,0.0008393560194876045,9.577501447638497e-05,0.007435809949040413,-0.004713784693926573,2.000912004137039,0.5015625,0.0008346422346774488,9.476348289172165e-05,40.233589858042876
22,0.0008148057580692694,9.077802853571484e-05,0.00724027718231082,-0.028668071925267578,2.0011604774236678,0.4986125,0.0007861376846442,9.510692697949708e-05,40.21787850681779
23,0.0007889232767280192,8.540145336737624e-05,0.007035218135081232,0.00474642397519201,2.0013925094842913,0.4998875,0.0007936697013676166,0.000122483390965499,39.119227986551685
24,0.0007760892842197791,8.308605323982192e-05,0.006930032200552523,-0.08628038858398795,2.001489995765686,0.499475,0.0006898088917718269,7.16022978303954e-05,41.4507304027527
25,0.0007614252801518887,8.037302274460672e-05,0.006810522462613881,-0.1294531166061759,2.0008225447654726,0.4992125,0.0006319721577921882,0.0001389096104539931,38.57267706582373
26,0.0007469131482299418,7.742968428792665e-05,0.00669483452886343,-0.13008053883314133,2.0013680718898774,0.500125,0.0006168326033628546,8.028327973443084e-05,40.95374894013765
27,0.000733753980929032,7.514281998155639e-05,0.006586111515015364,-0.09949688824117184,2.000861860084534,0.5004,0.0006342570869252086,6.115041711018421e-05,42.13600576272282
28,0.0007222357121761888,7.247581014526077e-05,0.006497598919831217,-0.057806693053245546,1.9997114310264588,0.5009375,0.000664429016248323,7.566343515645713e-05,41.21113945416689
29,0.0007124638472450897,7.087552536831935e-05,0.006415883119404316,0.035292312743887305,2.0016492471933365,0.4979625,0.0007477561623207294,2.9993047472089528e-05,45.229794050950176
30,0.0006975283531006426,6.850105693883962e-05,0.006290272863954306,0.012958710306696593,1.9998259432315826,0.5014875,0.0007104870636248961,6.67864271090366e-05,41.753117894793384
